"Night at the Museum","tt0477347"
"Shang-Chi and the Legend of the Ten Rings","tt9376612"
"Waiting for Superman","tt1566648"
"Once Upon a Time in America","tt0087843"
"Waterworks","tt12188572"
"Searching","tt7668870"
"Biutiful","tt1164999"
"Scary Movie","tt0175142"
"Ferdinand","tt3411444"
"Vicky Cristina Barcelona","tt0497465"
"Abiquiu","tt1615551"
"Inside Out","tt2096673"
"The X-Files","tt0106179"
"Crazy Rich Asians","tt3104988"
"Ghidorah, the Three-Headed Monster","tt0058544"
"Repulsion","tt0059646"
"Immortal Beloved","tt0110116"
"Bad Boys II","tt0172156"
"Queen of Hearts","tt8378126"
"Taxi","tt0152930"
"Plastic","tt2556874"
"Over the Top","tt0093692"
"Conquest 1453","tt1783232"
"Yesterday","tt8079248"
"Tristan + Isolde","tt0375154"
"Holidate","tt9866072"
"Turbo","tt1860353"
"Blade Runner: Black Out 2022","tt7428594"
"Lust, Caution","tt0808357"
"The Banshees of Inisherin","tt11813216"
"Red Dead Redemption II","tt6161168"
"REC","tt1038988"
"Terminator 2: Judgment Day","tt0103064"
"School of Rock","tt0332379"
"Brave","tt1217209"
"Meet Joe Black","tt0119643"
"Cruel Intentions","tt0139134"
"The Silence of the Lambs","tt0102926"
"Indiana Jones and the Temple of Doom","tt0087469"
"Million Dollar Baby","tt0405159"
"Metro","tt0119664"
"Juno","tt0467406"
"Coming to America","tt0094898"
"Australia","tt0455824"
"The Terminal","tt0362227"
"The Leftovers","tt2699128"
"Boiling Point","tt0106455"
"Star Trek: The Motion Picture","tt0079945"
"Rocky","tt0075148"
"La haine","tt0113247"
"Scream","tt0117571"
"Ultramarines: A Warhammer 40,000 Movie","tt1679332"
"M*A*S*H","tt0066026"
"The Equalizer","tt0455944"
"Mulholland Drive","tt0166924"
"Hairspray","tt0427327"
"Dog Day Afternoon","tt0072890"
"Ride Along 2","tt2869728"
"Ghost in the Shell","tt0113568"
"Marley & Me","tt0822832"
"Prometheus","tt1446714"
"Happy Death Day","tt5308322"
"Cloud Atlas","tt1371111"
"Bronson","tt1172570"
"Strange Brew","tt0086373"
"The Cat in the Hat","tt0312528"
"Catch Me If You Can","tt0264464"
"Monkey Shines","tt0095652"
"The Father","tt10272386"
"California Split","tt0071269"
"13 Reasons Why","tt1837492"
